player_id,timestamp,scenario,question_id,branch,choice,choice_text,empathy_change,courage_change,responsibility_change,intervention_change
P00001,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00001,2026-09-12T08:04:13,scenario_1,Q2,A,A1,Binh tinh giai thich hanh dong nay khong dung.,0,3,2,2
P00001,2026-09-12T08:04:13,scenario_2,Q1,-,C,Bao cao bai dang.,0,0,3,3
P00001,2026-09-12T08:04:13,scenario_2,Q2,C,C2,Giai thich ly do bao cao.,0,2,3,2
P00002,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00002,2026-09-12T08:04:13,scenario_1,Q2,B,B2,De nghi giao vien di kiem tra.,0,0,2,3
P00002,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00002,2026-09-12T08:04:13,scenario_2,Q2,A,A1,Giai thich vi sao hanh dong nay co the lam Lan ton thuong.,3,2,0,0
P00003,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00003,2026-09-12T08:04:13,scenario_1,Q2,D,D1,Bao giao vien.,0,0,3,3
P00003,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00003,2026-09-12T08:04:13,scenario_2,Q2,A,A1,Giai thich vi sao hanh dong nay co the lam Lan ton thuong.,3,2,0,0
P00004,2026-09-12T08:04:13,scenario_1,Q1,-,B,Di tim giao vien hoac nhan vien nha truong.,1,2,3,3
P00004,2026-09-12T08:04:13,scenario_1,Q2,B,B2,De nghi giao vien di kiem tra.,0,0,2,3
P00004,2026-09-12T08:04:13,scenario_2,Q1,-,A,Bao moi nguoi dung lai.,1,4,4,3
P00004,2026-09-12T08:04:13,scenario_2,Q2,A,A2,Noi rang se bao giao vien neu tiep tuc.,0,3,3,2
P00005,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00005,2026-09-12T08:04:13,scenario_1,Q2,D,D2,Nhan rieng cho Minh.,3,0,0,2
P00005,2026-09-12T08:04:13,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00005,2026-09-12T08:04:13,scenario_2,Q2,D,D3,Im lang.,0,0,-1,0
P00006,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00006,2026-09-12T08:04:13,scenario_1,Q2,A,A2,Goi them mot nguoi ban toi ho tro.,0,0,2,2
P00006,2026-09-12T08:04:13,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00006,2026-09-12T08:04:13,scenario_2,Q2,D,D3,Im lang.,0,0,-1,0
P00007,2026-09-12T08:04:13,scenario_1,Q1,-,C,Dung lai quan sat nhung chua lam gi.,1,0,0,0
P00007,2026-09-12T08:04:13,scenario_1,Q2,C,C2,Nhan tin hoi Minh co on khong.,3,0,0,1
P00007,2026-09-12T08:04:13,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
P00007,2026-09-12T08:04:13,scenario_2,Q2,B,B3,Noi Ban dung de y ho.,1,0,0,0
P00008,2026-09-12T08:04:13,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00008,2026-09-12T08:04:13,scenario_1,Q2,A,A1,Binh tinh giai thich hanh dong nay khong dung.,0,3,2,2
P00008,2026-09-12T08:04:13,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00008,2026-09-12T08:04:13,scenario_2,Q2,D,D1,Noi voi giao vien nhung gi minh biet.,0,0,4,3
P00009,2026-09-12T08:04:13,scenario_1,Q1,-,C,Dung lai quan sat nhung chua lam gi.,1,0,0,0
P00009,2026-09-12T08:04:13,scenario_1,Q2,C,C3,Cho nhom hoc sinh roi di roi ho tro Minh.,2,0,1,1
P00009,2026-09-12T08:04:13,scenario_2,Q1,-,C,Bao cao bai dang.,0,0,3,3
P00009,2026-09-12T08:04:13,scenario_2,Q2,C,C1,Giu quyet dinh bao cao.,0,3,3,0
P00010,2026-09-12T08:04:13,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00010,2026-09-12T08:04:13,scenario_1,Q2,D,D1,Bao giao vien.,0,0,3,3
