player_id,timestamp,scenario,question_id,branch,choice,choice_text,empathy_change,courage_change,responsibility_change,intervention_change
P00001,2026-09-12T15:40:43,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00001,2026-09-12T15:40:45,scenario_1,Q2,A,A4,So hai va rut lui.,0,-2,0,-1
P00001,2026-09-12T15:40:54,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00001,2026-09-12T15:40:57,scenario_2,Q2,D,D4,Noi Em khong biet gi ca.,0,0,-3,-3
P00003,2026-09-12T16:19:47,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00003,2026-09-12T16:19:50,scenario_1,Q2,D,D4,Tham gia binh luan che gieu.,-3,0,-3,-3
P00003,2026-09-12T16:19:57,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00003,2026-09-12T16:20:00,scenario_2,Q2,D,D4,Noi Em khong biet gi ca.,0,0,-3,-3
P00007,2026-09-12T21:11:08,scenario_1,Q1,-,C,Dung lai quan sat nhung chua lam gi.,1,0,0,0
P00007,2026-09-12T21:11:12,scenario_1,Q2,C,C3,Cho nhom hoc sinh roi di roi ho tro Minh.,2,0,1,1
P00007,2026-09-12T21:11:27,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00007,2026-09-12T21:11:30,scenario_2,Q2,D,D4,Noi Em khong biet gi ca.,0,0,-3,-3
P00008,2026-09-12T21:13:38,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00008,2026-09-12T21:13:40,scenario_1,Q2,D,D4,Tham gia binh luan che gieu.,-3,0,-3,-3
P00008,2026-09-12T21:13:43,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00008,2026-09-12T21:13:45,scenario_2,Q2,D,D4,Noi Em khong biet gi ca.,0,0,-3,-3
P00009,2026-09-12T21:13:50,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00009,2026-09-12T21:13:51,scenario_1,Q2,D,D4,Tham gia binh luan che gieu.,-3,0,-3,-3
P00009,2026-09-12T21:13:54,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00009,2026-09-12T21:13:55,scenario_2,Q2,D,D4,Noi Em khong biet gi ca.,0,0,-3,-3
P00010,2026-09-12T21:15:36,scenario_1,Q1,-,D,Bo di vi nghi do khong phai chuyen cua minh.,0,0,-1,0
P00010,2026-09-12T21:15:37,scenario_1,Q2,D,D4,Tham gia binh luan che gieu.,-3,0,-3,-3
P00010,2026-09-12T21:15:40,scenario_2,Q1,-,D,Khong lam gi.,0,0,0,0
P00010,2026-09-12T21:15:41,scenario_2,Q2,D,D4,Noi Em khong biet gi ca.,0,0,-3,-3
P00013,2026-09-12T21:50:19,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00013,2026-09-12T21:50:23,scenario_1,Q2,A,A4,So hai va rut lui.,0,-2,0,-1
P00014,2026-09-12T21:58:17,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00014,2026-09-12T21:58:18,scenario_1,Q2,A,A3,Tim giao vien va bao su viec.,0,0,3,3
P00015,2026-09-12T21:59:25,scenario_1,Q1,-,A,Di toi va yeu cau nhom hoc sinh dung lai.,1,4,3,4
P00015,2026-09-12T21:59:28,scenario_1,Q2,A,A2,Goi them mot nguoi ban toi ho tro.,0,0,2,2
P00015,2026-09-12T21:59:42,scenario_2,Q1,-,B,Nhan rieng cho Lan.,4,1,2,2
