player_id,timestamp,total_empathy,total_courage,total_responsibility,total_intervention,bystander_type,scenario_1_score,scenario_2_score,total_score
P00001,2026-09-12T08:04:13,1,9,11,11,ACTIVE BYSTANDER,19,13,32
P00002,2026-09-12T08:04:13,5,8,9,9,SUPPORTIVE BYSTANDER,14,17,31
P00003,2026-09-12T08:04:13,4,6,6,6,SUPPORTIVE BYSTANDER,5,17,22
P00004,2026-09-12T08:04:13,2,9,12,11,ACTIVE BYSTANDER,14,20,34
P00005,2026-09-12T08:04:13,3,0,-2,2,PASSIVE BYSTANDER,4,-1,3
P00006,2026-09-12T08:04:13,1,4,4,6,SUPPORTIVE BYSTANDER,16,-1,15
P00007,2026-09-12T08:04:13,9,1,2,3,PASSIVE BYSTANDER,5,10,15
P00008,2026-09-12T08:04:13,1,7,9,9,SUPPORTIVE BYSTANDER,19,7,26
P00009,2026-09-12T08:04:13,3,3,7,4,PASSIVE BYSTANDER,5,12,17
P00010,2026-09-12T08:04:13,0,0,6,6,SUPPORTIVE BYSTANDER,5,7,12
P00011,2026-09-12T08:04:13,11,1,3,6,SUPPORTIVE BYSTANDER,5,16,21
P00012,2026-09-12T08:04:13,1,7,11,9,PASSIVE BYSTANDER,16,12,28
P00013,2026-09-12T08:04:13,1,4,5,5,PASSIVE BYSTANDER,16,-1,15
P00014,2026-09-12T08:04:13,5,1,1,2,PASSIVE BYSTANDER,-1,10,9
P00015,2026-09-12T08:04:13,4,3,6,4,PASSIVE BYSTANDER,5,12,17
P00016,2026-09-12T08:04:13,3,3,5,8,SUPPORTIVE BYSTANDER,14,5,19
P00017,2026-09-12T08:04:13,5,1,1,2,PASSIVE BYSTANDER,-1,10,9
P00018,2026-09-12T08:04:13,2,8,7,7,SUPPORTIVE BYSTANDER,16,8,24
P00019,2026-09-12T08:04:13,1,7,6,5,PASSIVE BYSTANDER,-1,20,19
P00020,2026-09-12T08:04:13,4,0,-3,-2,PASSIVE BYSTANDER,5,-6,-1
P00021,2026-09-12T08:04:13,3,2,5,7,SUPPORTIVE BYSTANDER,4,13,17
P00022,2026-09-12T08:04:13,1,2,-1,-1,PASSIVE BYSTANDER,7,-6,1
P00023,2026-09-12T08:04:13,6,1,0,3,PASSIVE BYSTANDER,5,5,10
P00024,2026-09-12T08:04:13,2,14,12,11,ACTIVE BYSTANDER,19,20,39
P00025,2026-09-12T08:04:13,2,5,5,4,PASSIVE BYSTANDER,5,11,16
P00026,2026-09-12T08:04:13,-3,3,2,0,PASSIVE BYSTANDER,-10,12,2
P00027,2026-09-12T08:04:13,1,7,12,10,ACTIVE BYSTANDER,18,12,30
