player_id,gender,age,empathy,confidence,intervention,score,total_questions,intervention_count,passive_count,play_time_minutes
P001,Nam,15,4.02,3.59,3.97,100.0,10,8,2,11
P002,Nữ,15,4.73,4.54,4.35,100.0,10,8,2,10
P003,Nam,15,3.86,2.5,2.64,87.9,10,4,6,12
P004,Nam,17,3.11,2.29,3.24,90.4,10,7,3,7
P005,Nam,17,3.35,3.29,2.84,96.4,10,5,5,11
P006,Nữ,15,3.31,4.22,3.57,96.4,10,8,2,8
P007,Nam,15,3.84,2.47,2.75,94.0,10,6,4,12
P008,Nam,15,3.62,3.24,2.87,90.5,10,5,5,15
P009,Nam,17,3.92,2.63,3.44,97.3,10,6,4,13
P010,Nam,17,4.37,4.4,3.96,100.0,10,8,2,14
P011,Nữ,15,3.39,3.15,2.83,85.0,10,7,3,16
P012,Nữ,17,3.65,3.98,3.81,100.0,10,8,2,16
P013,Nữ,15,3.68,4.3,2.9,100.0,10,6,4,11
P014,Nam,17,3.76,2.4,3.07,97.3,10,8,2,10
P015,Nữ,16,3.17,2.84,3.29,97.3,10,6,4,13
P016,Nữ,15,3.76,4.03,3.52,100.0,10,7,3,7
P017,Nam,16,3.89,3.72,3.72,100.0,10,6,4,10
P018,Nam,15,3.48,2.87,3.1,98.1,10,8,2,12
P019,Nữ,15,3.87,3.52,2.96,98.8,10,6,4,19
P020,Nữ,16,3.57,3.54,3.46,93.5,10,8,2,14
P021,Nữ,15,4.21,3.29,4.24,100.0,10,9,1,18
P022,Nữ,17,3.06,2.73,2.89,86.7,10,4,6,12
P023,Nam,16,3.01,3.27,2.72,100.0,10,4,6,11
P024,Nam,17,4.23,3.12,3.77,100.0,10,6,4,12
P025,Nữ,17,3.87,3.99,3.38,95.4,10,7,3,12
P026,Nữ,17,3.86,3.75,3.48,100.0,10,7,3,9
P027,Nam,17,4.91,4.5,4.19,100.0,10,7,3,14
P028,Nam,15,4.45,3.49,4.3,100.0,10,10,0,17
P029,Nam,16,3.54,2.94,2.91,88.5,10,6,4,13
P030,Nam,15,3.88,4.03,3.84,100.0,10,7,3,20
P031,Nam,16,4.11,3.25,3.29,100.0,10,6,4,14
P032,Nữ,16,4.01,3.61,3.45,94.0,10,6,4,14
P033,Nữ,15,3.84,2.86,3.42,100.0,10,6,4,12
P034,Nữ,16,3.74,2.85,3.43,100.0,10,8,2,15
P035,Nam,17,2.8,2.36,2.75,89.6,10,6,4,23
P036,Nữ,17,4.07,4.32,4.39,100.0,10,8,2,14
P037,Nam,17,3.2,3.0,2.87,92.6,10,9,1,6
P038,Nam,17,4.15,2.86,3.38,100.0,10,7,3,8
P039,Nam,15,3.24,3.53,3.01,97.1,10,6,4,10
P040,Nữ,16,5.0,4.65,4.01,100.0,10,7,3,14
P041,Nữ,17,3.18,3.06,3.24,100.0,10,5,5,10
P042,Nam,17,3.39,2.9,3.73,100.0,10,6,4,14
P043,Nữ,15,5.0,4.87,4.27,100.0,10,10,0,9
P044,Nam,15,3.99,4.07,3.58,100.0,10,3,7,8
P045,Nữ,16,3.54,2.66,3.68,90.0,10,7,3,12
P046,Nữ,15,4.64,3.27,4.39,100.0,10,8,2,13
P047,Nam,17,3.83,3.21,3.51,99.7,10,7,3,13
P048,Nữ,15,4.73,3.44,4.85,100.0,10,10,0,13
P049,Nữ,16,3.88,3.23,3.46,98.9,10,6,4,14
P050,Nữ,15,3.93,3.22,3.87,100.0,10,9,1,13
P051,Nữ,15,3.16,2.8,3.21,98.3,10,6,4,12
P052,Nam,17,4.53,3.67,4.26,100.0,10,8,2,15
P053,Nữ,17,4.24,4.25,4.58,100.0,10,10,0,11
P054,Nữ,17,3.91,3.52,3.69,100.0,10,6,4,18
P055,Nữ,16,3.05,2.36,3.12,96.3,10,7,3,13
P056,Nam,15,3.69,2.96,3.34,94.3,10,8,2,11
P057,Nữ,15,3.16,2.93,3.14,90.0,10,5,5,12
P058,Nam,15,3.86,3.28,3.37,100.0,10,5,5,7
P059,Nam,17,3.23,3.03,3.19,100.0,10,7,3,11
P060,Nam,17,3.69,2.9,3.28,96.2,10,7,3,9
P061,Nữ,17,4.04,4.52,4.07,100.0,10,9,1,10
P062,Nam,16,3.85,3.56,3.67,99.9,10,7,3,13
P063,Nữ,17,4.64,4.6,5.0,100.0,10,10,0,12
P064,Nữ,17,5.0,3.86,4.12,100.0,10,6,4,10
P065,Nữ,17,3.21,3.22,3.25,100.0,10,8,2,10
P066,Nam,17,3.12,3.35,2.67,100.0,10,7,3,10
P067,Nam,17,2.59,3.48,2.83,98.6,10,4,6,10
P068,Nữ,17,3.7,3.48,3.36,100.0,10,5,5,11
P069,Nữ,15,3.78,3.79,3.93,100.0,10,6,4,15
P070,Nữ,16,3.92,3.18,4.07,100.0,10,10,0,12
P071,Nam,16,5.0,5.0,4.76,100.0,10,10,0,16
P072,Nam,17,3.07,3.42,3.5,86.4,10,6,4,5
P073,Nữ,17,3.52,3.74,4.04,100.0,10,10,0,7
P074,Nam,17,2.59,2.7,2.72,85.6,10,3,7,11
P075,Nam,17,2.85,3.27,3.08,86.3,10,6,4,8
P076,Nữ,17,3.66,3.95,3.33,100.0,10,6,4,9
P077,Nam,15,3.63,2.84,3.04,87.1,10,8,2,12
P078,Nữ,15,3.25,3.28,3.14,94.3,10,7,3,14
P079,Nam,17,3.36,2.91,3.01,77.7,10,4,6,16
P080,Nữ,16,4.77,4.01,4.54,100.0,10,10,0,15
P081,Nam,15,3.62,2.88,2.68,93.7,10,4,6,7
P082,Nữ,16,3.28,2.59,3.53,100.0,10,7,3,16
P083,Nam,15,3.75,3.01,3.9,100.0,10,7,3,11
P084,Nam,17,3.13,2.32,3.07,100.0,10,4,6,13
P085,Nam,15,3.28,2.91,2.85,85.9,10,6,4,9
P086,Nữ,15,3.88,3.54,3.56,98.1,10,6,4,14
P087,Nam,15,4.03,3.13,3.61,100.0,10,5,5,13
P088,Nữ,17,3.27,3.49,3.0,83.0,10,4,6,12
P089,Nam,16,3.87,3.07,3.68,92.0,10,7,3,8
P090,Nữ,15,3.28,3.21,2.87,90.6,10,7,3,10
P091,Nam,17,4.24,3.19,3.91,100.0,10,5,5,9
P092,Nữ,16,4.08,3.59,3.91,100.0,10,8,2,11
P093,Nữ,16,4.46,4.09,4.31,100.0,10,8,2,10
P094,Nữ,15,3.96,3.39,3.73,100.0,10,9,1,11
P095,Nam,15,4.48,3.74,3.36,100.0,10,4,6,10
P096,Nam,16,3.71,4.38,3.98,100.0,10,9,1,5
P097,Nam,17,3.85,3.98,3.28,100.0,10,7,3,10
P098,Nam,17,4.11,4.97,4.39,100.0,10,8,2,9
P099,Nam,15,4.24,3.33,3.8,100.0,10,8,2,13
P100,Nam,17,4.37,3.61,3.87,100.0,10,7,3,13
P101,Nam,15,4.19,3.27,4.03,100.0,10,9,1,17
